time,confirmed,recovered,deaths
2020-02-27 16:00:00+09:00,9,0,0
2020-02-28 16:00:00+09:00,14,0,0
2020-02-29 16:00:00+09:00,13,0,0
2020-03-01 16:00:00+09:00,13,0,0
2020-03-11 00:00:00+09:00,18,2,0
2020-03-12 00:00:00+09:00,20,2,0
2020-03-13 00:00:00+09:00,22,4,0
2020-03-14 00:00:00+09:00,22,4,0
2020-03-15 00:00:00+09:00,22,4,0
2020-03-16 00:00:00+09:00,22,4,0
2020-03-17 00:00:00+09:00,22,4,0
2020-03-18 00:00:00+09:00,22,4,0
2020-03-19 00:00:00+09:00,22,4,0
2020-03-20 00:00:00+09:00,22,5,0
2020-03-21 00:00:00+09:00,22,5,0
2020-03-22 00:00:00+09:00,24,6,0
2020-03-23 00:00:00+09:00,24,6,0
2020-03-24 00:00:00+09:00,24,6,0
2020-03-25 00:00:00+09:00,24,6,0
